CORSSING,B-CODE,CODE
Anzalduas International Bridge,ANZA,RGV-HID-ANZA
Boquillas Crossing,BOQU,ELP-BOQ-BOQU
Bridge of the Americas,BRID,ELP-ELP-BRID
Brownsville & Matamoros Express Bridge,BROW,RGV-BRW-BROW
Camino Real International Bridge,CAMI,LRD-EGP-CAMI
Canadian Pacific Kansas City Laredo Railroad Bridge,CANA,LRD-LRD-CANA
Colombia Solidarity Bridge,COLO,LRD-LRD-COLO
Del Rio International Bridge,DELR,LRD-DLR-DELR
Donna-Rio Bravo International Bridge,DONN,RGV-PRG-DONN
Eagle Pass International Bridge,EAGL,LRD-EGP-EAGL
El Paso Railroad Bridges,ELPA,ELP-ELP-ELPA
Fort Hancock-El Porvenir Bridge,FORT,ELP-TOR-FORT
Free Trade International Bridge (Los Indios),FREE,RGV-BRW-FREE
Gateway International Bridge,GATE,RGV-BRW-GATE
Gateway to the Americas Bridge (Laredo Bridge I),GTAB,LRD-LRD-GTAB
Good Neighbor Bridge (Stanton),GOOD,ELP-ELP-GOOD
Juárez-Lincoln International Bridge (Laredo Bridge II),JUAR,LRD-LRD-JUAR
Lake Amistad Dam Crossing,LAKA,LRD-DLR-LAKA
Lake Falcon Dam International Crossing,LAKF,RGV-ROM-LAKF
Los Ebanos Ferry,LOSE,RGV-RGC-LOSE
Marcelino Serna Bridge,MARC,ELP-TOR-MARC
McAllen/Hidalgo International Bridge,MCAL,RGV-HID-MCAL
Paso del Norte Bridge,PASO,ELP-ELP-PASO
Pharr International Bridge,PHAR,RGV-HID-PHAR
Presidio-Ojinaga International Bridge,PRES,ELP-PSD-PRES
Progreso International Bridge,PROG,RGV-PRG-PROG
Roma-Ciudad Miguel Alemán International Bridge,ROMA,RGV-ROM-ROMA
South Orient Railroad Bridge,SOUT,ELP-PSD-SOUT
Starr-Camargo Bridge,STAR,RGV-RGC-STAR
Union Pacific Eagle Pass Railroad Bridge,UNIO,LRD-EGP-UNIO
Veterans International Bridge at Los Tomates,VETE,RGV-BRW-VETE
West Rail Bridge,WEST,RGV-BRW-WEST
World Trade Bridge (Laredo Bridge IV),WORL,LRD-LRD-WORL
Ysleta Bridge,YSLE,ELP-YSL-YSLE
